0,NaN,NaN,0
1,NaN,NaN,1
2,NaN,NaN,2
3,NaN,NaN,2
4,NaN,NaN,3
5,NaN,NaN,3
6,NaN,NaN,4
7,NaN,NaN,5
8,NaN,NaN,6
9,NaN,NaN,6
10,NaN,NaN,6
11,NaN,NaN,7
12,NaN,NaN,7
13,NaN,NaN,8
14,NaN,NaN,10
15,NaN,NaN,11
16,NaN,NaN,12
17,NaN,NaN,16
18,NaN,NaN,18
19,NaN,NaN,20
20,NaN,NaN,22
21,NaN,NaN,24
22,NaN,NaN,24
23,NaN,NaN,24
24,NaN,NaN,24
25,NaN,NaN,25
26,NaN,NaN,26
27,NaN,NaN,26
28,NaN,NaN,28
29,NaN,NaN,31
30,NaN,NaN,37
31,NaN,NaN,38
32,NaN,NaN,38
33,NaN,NaN,38
34,NaN,NaN,41
35,NaN,NaN,41
36,NaN,NaN,42
37,NaN,NaN,45
38,NaN,NaN,50
39,NaN,NaN,50
40,NaN,NaN,50
41,NaN,NaN,54
42,NaN,NaN,60
43,NaN,NaN,63
44,NaN,NaN,65
45,NaN,NaN,70
46,NaN,NaN,77
47,NaN,NaN,78
48,NaN,NaN,81
49,NaN,NaN,84
50,NaN,NaN,88
51,NaN,NaN,89
52,NaN,NaN,90
53,NaN,NaN,92
54,NaN,NaN,93
55,NaN,NaN,95
56,NaN,NaN,103
57,NaN,NaN,106
58,NaN,NaN,111
59,NaN,NaN,112
60,NaN,NaN,114
61,NaN,NaN,118
62,NaN,NaN,120
63,NaN,NaN,124
64,NaN,NaN,127
65,NaN,NaN,128
66,NaN,NaN,129
67,NaN,NaN,130
68,NaN,NaN,133
69,NaN,NaN,133
70,NaN,NaN,135
71,NaN,NaN,136
72,NaN,NaN,136
73,NaN,NaN,140
74,NaN,NaN,140
75,NaN,NaN,142
76,NaN,NaN,143
77,NaN,NaN,144
78,NaN,NaN,146
79,NaN,NaN,146
80,NaN,NaN,146
81,NaN,NaN,148
82,NaN,NaN,149
83,NaN,NaN,152
84,NaN,NaN,153
85,NaN,NaN,153
86,NaN,NaN,153
87,NaN,NaN,153
88,NaN,NaN,153
89,NaN,NaN,153
90,NaN,NaN,155
91,NaN,NaN,155
92,NaN,NaN,156
93,NaN,NaN,156
94,NaN,NaN,157
95,NaN,NaN,158
96,NaN,NaN,159
97,NaN,NaN,162
98,NaN,NaN,162
99,NaN,NaN,162
100,NaN,NaN,162
101,NaN,NaN,162
102,NaN,NaN,162
103,NaN,NaN,164
105,NaN,NaN,165
106,NaN,NaN,166
108,NaN,NaN,167
109,NaN,NaN,168
119,NaN,NaN,179
120,NaN,NaN,179
121,NaN,NaN,181
122,NaN,NaN,182
132,NaN,1,183
136,NaN,0,184
